stimulus,List,Concrete_m,Concrete_sd,Number_of_ratings,Number_of_N-respones,Number_of_subjects
abstract,2,1.07,0.26,15,0,15
abstractie,2,1.13,0.35,15,0,15
abstraheren,2,1.53,0.83,15,0,15
absurd,2,1.40,0.63,15,0,15
absurdistisch,3,1.43,0.85,14,1,15
absurditeit,4,1.47,0.92,15,0,15
abt,1,3.27,1.44,15,0,15
abuis,1,1.78,1.30,9,6,15
abusievelijk,5,1.78,0.97,9,6,15
acacia,1,4.30,1.34,10,5,15
academicus,4,3.21,1.31,14,1,15
academie,5,3.20,1.21,15,0,15
academisch,3,1.93,1.16,15,0,15
acajou,4,4.27,0.65,11,4,15
acceleratie,4,2.92,1.16,12,3,15
accelereren,3,3.20,1.15,15,0,15
accent,1,3.40,1.24,15,0,15
accentueren,5,2.60,1.24,15,0,15
acceptabel,2,1.67,0.90,15,0,15
acceptatie,4,1.87,0.64,15,0,15
accepteren,3,2.33,1.23,15,0,15
accessoire,2,3.27,1.03,15,0,15
accessoires,1,3.47,1.19,15,0,15
accident,1,4.13,0.92,15,0,15
accijns,4,2.50,1.45,12,3,15
acclamatie,4,2.29,1.38,7,8,15
acclimatisatie,5,1.64,0.63,14,1,15
acclimatiseren,2,2.21,1.05,14,1,15
accolade,2,4.07,1.21,14,1,15
accommodatie,3,2.40,1.30,15,0,15
accommoderen,5,2.00,1.20,15,0,15
accordeon,5,4.80,0.56,15,0,15
accorderen,2,1.90,0.99,10,5,15
accountant,2,3.07,1.33,15,0,15
accreditatie,3,1.70,1.06,10,5,15
accrediteren,4,2.00,1.04,12,3,15
accu,3,4.13,0.74,15,0,15
acculturatie,5,1.36,0.50,11,4,15
accumulatie,4,2.50,1.40,14,1,15
accumuleren,3,2.14,1.23,14,1,15
accuraat,2,1.60,0.91,15,0,15
accuratesse,2,2.00,1.18,11,4,15
accusatief,5,1.36,1.08,14,1,15
ace,5,3.42,1.44,12,3,15
aceton,4,3.50,1.34,14,1,15
ach,3,1.43,0.76,14,1,15
achilleshiel,5,3.33,1.59,15,0,15
achillespees,1,4.40,1.06,15,0,15
acht,5,3.20,1.61,15,0,15
achtarmig,2,4.00,1.00,15,0,15
achtbaan,4,4.73,0.59,15,0,15
achtbaar,4,1.53,0.74,15,0,15
achteloos,5,1.53,0.64,15,0,15
achten,5,2.00,1.25,15,0,15
achter,5,2.33,1.40,15,0,15
achteraan,1,3.00,1.41,15,0,15
achteraf,5,1.60,1.12,15,0,15
achterbak,1,4.21,0.89,14,1,15
achterbaks,4,2.00,1.00,15,0,15
achterban,3,1.87,1.13,15,0,15
achterbank,4,4.53,0.64,15,0,15
achterblijven,1,3.47,1.25,15,0,15
achterbuurt,2,3.20,1.08,15,0,15
achterdek,1,4.00,1.00,15,0,15
achterdeur,2,4.33,0.62,15,0,15
achterdocht,1,1.67,1.11,15,0,15
achterdochtig,3,1.80,0.94,15,0,15
achtereen,4,1.93,1.16,15,0,15
achtereenvolgens,4,1.67,0.90,15,0,15
achtereind,1,2.60,1.35,15,0,15
achteren,3,2.42,1.08,12,3,15
achtergrond,2,3.20,1.26,15,0,15
achterhaald,4,1.79,0.70,14,1,15
achterhalen,4,2.27,1.22,15,0,15
achterheen,3,1.67,0.98,15,0,15
achterhoede,5,2.53,1.25,15,0,15
achterhoofd,2,4.47,0.64,15,0,15
achterhouden,3,2.27,1.03,15,0,15
achterhuis,1,3.93,1.03,15,0,15
achterin,3,2.47,1.36,15,0,15
achteringang,4,3.93,1.16,15,0,15
achterkamer,4,3.73,0.88,15,0,15
achterkant,5,3.07,1.44,15,0,15
achterklap,5,2.29,0.99,14,1,15
achterkomen,2,2.13,0.74,15,0,15
achterland,4,2.92,1.24,12,3,15
achterlangs,2,2.00,1.00,15,0,15
achterlaten,2,2.87,0.99,15,0,15
achterlicht,3,4.53,0.74,15,0,15
achterligger,4,3.79,0.97,14,1,15
achterlijf,2,4.07,0.96,15,0,15
achterlijk,5,1.67,0.62,15,0,15
achterlopen,3,2.47,0.99,15,0,15
achterna,1,2.20,1.42,15,0,15
achternaam,5,2.80,1.47,15,0,15
achternazitten,5,3.47,1.25,15,0,15
achterneef,5,2.53,1.19,15,0,15
achternicht,1,2.60,1.50,15,0,15
achterom,3,1.87,1.19,15,0,15
achterop,2,2.53,0.99,15,0,15
achterover,1,2.80,1.37,15,0,15
achterpoot,5,4.40,0.91,15,0,15
achterruit,5,3.93,1.39,15,0,15
achterschip,3,4.00,1.07,15,0,15
achterstallig,2,1.73,0.80,15,0,15
achterstand,3,2.20,1.01,15,0,15
achterste,3,3.20,1.47,15,0,15
achterstellen,4,2.27,1.16,15,0,15
achtersteven,2,3.00,1.58,13,2,15
achterstevoren,5,2.80,1.26,15,0,15
