stimulus,List,Concrete_m,Concrete_sd,Number_of_ratings,Number_of_N-respones,Number_of_subjects
vuurdoorn,5,4.10,0.99,10,5,15
vuurgevecht,1,4.07,0.96,15,0,15
vuurhaard,4,4.27,0.96,15,0,15
vuurkracht,4,2.80,1.15,15,0,15
vuurlinie,4,3.07,0.83,14,1,15
vuurpijl,3,4.40,0.91,15,0,15
vuurproef,5,2.27,0.96,15,0,15
vuurrood,1,3.80,1.08,15,0,15
vuursteen,3,4.33,0.82,15,0,15
vuurtje,3,4.40,0.63,15,0,15
vuurtoren,2,4.73,0.59,15,0,15
vuurvast,3,2.67,1.18,15,0,15
vuurvreter,5,3.50,1.08,10,5,15
vuurwapen,4,4.20,1.01,15,0,15
vuurwerk,5,4.47,0.92,15,0,15
vuurzee,5,3.46,1.05,13,2,15
waaghals,3,2.60,1.35,15,0,15
waagschaal,5,2.82,1.40,11,4,15
waagstuk,2,1.92,1.00,12,3,15
waaien,2,4.33,0.62,15,0,15
waaier,5,4.53,0.83,15,0,15
waakhond,2,3.60,0.99,15,0,15
waakvlam,3,4.21,1.12,14,1,15
waakzaam,2,2.20,0.86,15,0,15
waakzaamheid,5,2.07,1.10,15,0,15
waan,1,1.40,0.51,15,0,15
waanbeeld,5,2.33,1.18,15,0,15
waanidee,3,1.67,0.90,15,0,15
waanvoorstelling,1,2.00,1.13,15,0,15
waanwijs,3,1.22,0.44,9,6,15
waanzin,4,2.07,0.88,15,0,15
waanzinnig,2,1.80,0.86,15,0,15
waar,5,1.20,0.56,15,0,15
waaraan,3,1.47,0.83,15,0,15
waarachter,5,1.20,0.77,15,0,15
waarachtig,4,1.57,0.94,14,1,15
waarbij,2,1.60,0.83,15,0,15
waarbinnen,3,1.47,0.74,15,0,15
waarborg,5,2.27,1.10,15,0,15
waarborgen,4,2.07,0.88,15,0,15
waard,4,2.50,1.74,14,1,15
waarde,3,1.73,1.10,15,0,15
waardebon,1,4.07,0.96,15,0,15
waardeloos,4,1.80,1.01,15,0,15
waardeoordeel,1,1.20,0.41,15,0,15
waarderen,5,2.00,1.13,15,0,15
waardering,5,1.47,0.64,15,0,15
waardevol,5,1.73,0.88,15,0,15
waardig,5,1.60,0.83,15,0,15
waardigheid,1,1.80,1.42,15,0,15
waardin,4,3.78,1.30,9,6,15
waardoor,3,1.47,0.83,15,0,15
waarheen,4,1.20,0.41,15,0,15
waarheid,4,1.73,1.16,15,0,15
waarin,5,1.13,0.52,15,0,15
waarlangs,3,1.73,1.16,15,0,15
waarlijk,2,1.20,0.41,15,0,15
waarmaken,5,2.13,0.92,15,0,15
waarmede,1,1.36,0.63,14,1,15
waarmee,3,1.33,0.49,15,0,15
waarmerk,2,1.75,1.04,8,7,15
waarna,2,1.87,1.19,15,0,15
waarnaar,2,1.80,1.01,15,0,15
waarnemen,5,3.13,1.36,15,0,15
waarnemer,2,2.73,1.39,15,0,15
waarneming,3,2.40,0.91,15,0,15
waarom,1,1.00,0.00,15,0,15
waaronder,1,1.53,1.13,15,0,15
waarop,5,1.47,1.13,15,0,15
waarover,3,1.40,0.63,15,0,15
waarschijnlijk,2,1.33,0.62,15,0,15
waarschuwen,1,2.87,1.25,15,0,15
waarschuwing,3,2.47,1.25,15,0,15
waartegen,2,1.53,0.83,15,0,15
waartoe,4,1.27,0.59,15,0,15
waaruit,3,1.40,0.74,15,0,15
waarvan,4,1.40,0.63,15,0,15
waarvandaan,3,1.40,0.74,15,0,15
waarvoor,2,1.47,0.64,15,0,15
waarzegger,4,3.27,1.28,15,0,15
waarzegster,4,3.53,1.06,15,0,15
waas,5,3.33,1.05,15,0,15
wablief,2,1.53,0.92,15,0,15
wacht,1,3.20,1.37,15,0,15
wachtdienst,5,2.47,1.13,15,0,15
wachten,1,3.40,0.99,15,0,15
wachter,5,3.07,1.03,15,0,15
wachtgeld,4,3.08,1.19,13,2,15
wachthond,5,3.93,1.00,14,1,15
wachtkamer,2,3.53,1.25,15,0,15
wachtlijst,1,3.20,1.26,15,0,15
wachtmeester,2,3.07,1.33,14,1,15
wachtpost,4,3.60,1.06,15,0,15
wachttijd,3,2.60,1.40,15,0,15
wachttoren,4,4.29,0.73,14,1,15
wachtvuur,4,3.33,1.07,12,3,15
wachtwoord,2,3.07,1.03,15,0,15
wachtzaal,1,4.40,0.63,15,0,15
wad,2,4.67,0.58,3,12,15
waddeneiland,4,4.00,0.91,13,2,15
waden,4,3.00,1.56,10,5,15
wafel,2,4.93,0.26,15,0,15
wafelijzer,4,4.60,1.06,15,0,15
waffel,1,3.91,1.51,11,4,15
wagen,4,4.80,0.56,15,0,15
wagenpark,4,4.00,1.07,15,0,15
wagenwijd,2,2.60,1.12,15,0,15
wagenziek,3,3.40,1.30,15,0,15
waggelen,1,3.93,1.03,15,0,15
waggelgang,2,2.60,1.30,15,0,15
wagon,4,4.53,0.83,15,0,15
wak,2,3.08,1.16,12,3,15
wake,3,2.71,1.44,14,1,15
waken,1,3.27,1.22,15,0,15
waker,4,3.75,0.97,12,3,15
wakker,5,3.07,1.33,15,0,15
wal,5,4.33,0.90,15,0,15
walgelijk,3,2.20,1.26,15,0,15
walgen,1,3.00,1.07,15,0,15
walging,1,2.47,1.30,15,0,15
walhalla,2,1.33,0.50,9,6,15
walkietalkie,3,4.53,0.74,15,0,15
walkman,3,4.67,0.49,15,0,15
wallingant,2,1.75,0.50,4,11,15
walm,3,2.93,1.39,15,0,15
walmen,5,3.29,0.99,14,1,15
walnoot,2,4.80,0.41,15,0,15
walrus,5,4.80,0.56,15,0,15
wals,5,4.07,0.96,15,0,15
walsen,1,4.20,0.68,15,0,15
walstro,1,4.50,0.58,4,11,15
walvis,4,5.00,0.00,15,0,15
walvisjager,4,3.73,0.88,15,0,15
walvisvangst,2,3.33,0.90,15,0,15
wambuis,1,4.75,0.46,8,7,15
wan,1,2.25,1.89,4,11,15
wanbegrip,4,1.38,0.65,13,2,15
wanbeheer,4,1.73,0.70,15,0,15
wanbeleid,4,1.93,1.03,15,0,15
wanbestuur,1,2.00,1.07,15,0,15
wanbetaler,1,2.73,1.03,15,0,15
wanbetaling,5,2.07,1.27,14,1,15
wand,1,4.40,0.83,15,0,15
wandaad,5,2.07,0.70,15,0,15
wandel,2,3.93,0.70,15,0,15
wandelaar,4,3.60,1.24,15,0,15
wandelen,1,4.60,0.63,15,0,15
wandeling,5,3.87,0.92,15,0,15
wandelkaart,2,4.40,0.63,15,0,15
wandelstok,4,4.71,0.47,14,1,15
wandeltocht,2,3.67,1.18,15,0,15
wandelwagen,5,4.29,0.91,14,1,15
wanen,5,1.60,0.91,15,0,15
wang,2,4.93,0.26,15,0,15
wangedrag,3,2.33,1.18,15,0,15
wangedrocht,3,2.07,1.38,14,1,15
wangzak,5,4.22,1.09,9,6,15
wanhoop,5,1.67,0.98,15,0,15
wanhopen,5,1.87,0.99,15,0,15
wanhopig,5,1.60,0.51,15,0,15
wankel,1,3.47,1.06,15,0,15
wankelen,2,3.93,0.96,15,0,15
wankelmoedig,3,1.85,1.07,13,2,15
wanklank,2,2.36,1.15,14,1,15
wanneer,3,1.40,0.74,15,0,15
wanorde,3,2.40,0.91,15,0,15
wanprestatie,5,1.67,0.62,15,0,15
wansmaak,2,2.20,1.15,15,0,15
wanstaltig,3,1.55,0.93,11,4,15
want,3,1.60,1.18,15,0,15
wanten,5,4.40,0.91,15,0,15
wantrouwen,5,1.80,0.68,15,0,15
wantrouwig,1,1.67,0.90,15,0,15
wapen,3,4.20,0.94,15,0,15
wapenbezit,3,2.67,1.18,15,0,15
wapenbroeder,5,2.36,1.01,14,1,15
wapenen,5,2.93,1.03,15,0,15
wapenfeit,5,2.14,1.35,14,1,15
wapenhandel,1,3.20,1.08,15,0,15
wapenkamer,1,4.40,0.51,15,0,15
wapenrok,3,4.10,0.99,10,5,15
wapenrusting,4,4.15,1.07,13,2,15
wapens,2,4.47,0.52,15,0,15
wapenschild,1,4.27,1.03,15,0,15
wapenstilstand,4,2.60,1.06,15,0,15
wapenstok,2,4.14,1.41,14,1,15
wapensysteem,4,2.73,1.28,15,0,15
wapentuig,4,3.87,0.92,15,0,15
wapenwedloop,5,2.27,1.16,15,0,15
wapperen,3,4.07,1.03,15,0,15
warande,4,3.83,1.47,6,9,15
warboel,4,3.27,1.16,15,0,15
warempel,5,1.21,0.58,14,1,15
waren,3,2.00,1.04,12,3,15
warenhuis,5,4.20,0.86,15,0,15
wargeest,5,1.79,0.89,14,1,15
warhoofd,2,2.47,0.99,15,0,15
warkop,2,2.54,1.20,13,2,15
warm,3,3.47,1.36,15,0,15
warmbloedig,2,2.47,1.13,15,0,15
warmen,3,3.20,1.32,15,0,15
warmhartig,1,2.13,1.30,15,0,15
warmingup,2,2.87,1.06,15,0,15
warmte,1,3.60,1.30,15,0,15
warrelen,2,2.56,1.42,9,6,15
warrelig,4,2.38,1.19,13,2,15
warrig,4,2.67,1.11,15,0,15
wars,5,1.50,0.84,6,9,15
wartaal,3,2.73,1.16,15,0,15
warwinkel,1,2.78,1.48,9,6,15
was,1,4.07,1.33,15,0,15
wasachtig,5,3.36,0.93,14,1,15
wasbaar,4,2.93,1.22,15,0,15
wasbak,2,4.67,0.62,15,0,15
wasbeer,2,4.80,0.41,15,0,15
wasbekken,4,4.58,0.67,12,3,15
wasbeurt,1,3.87,1.13,15,0,15
wasbord,2,4.14,1.17,14,1,15
wasco,3,4.57,0.51,14,1,15
wasdom,1,4.00,1.22,5,10,15
wasdraad,4,4.73,0.46,15,0,15
wasdroger,2,4.60,0.63,15,0,15
wasem,2,3.38,1.26,13,2,15
wasemen,1,3.00,1.41,10,5,15
wasgoed,1,4.47,0.52,15,0,15
washandje,1,4.87,0.52,15,0,15
wasknijper,4,4.93,0.26,15,0,15
waskom,4,4.60,0.91,15,0,15
waslijn,4,4.73,0.59,15,0,15
waslijst,1,3.33,1.50,15,0,15
wasmachine,3,4.80,0.41,15,0,15
wasmand,1,4.87,0.35,15,0,15
wasmiddel,5,4.33,0.98,15,0,15
waspoeder,5,4.53,0.74,15,0,15
wasrek,4,4.87,0.35,15,0,15
wassalon,4,4.47,0.74,15,0,15
wassen,1,4.47,0.64,15,0,15
wasserette,1,4.40,0.91,15,0,15
wasserij,3,4.27,0.70,15,0,15
wasspeld,1,4.87,0.35,15,0,15
wastafel,4,4.67,0.62,15,0,15
wastobbe,5,4.64,0.63,14,1,15
wasvrouw,5,3.31,1.03,13,2,15
wat,1,1.13,0.35,15,0,15
water,5,4.80,0.56,15,0,15
waterbed,5,4.53,0.92,15,0,15
waterbron,5,4.20,1.08,15,0,15
watercloset,3,4.20,1.14,10,5,15
waterdamp,2,4.47,0.64,15,0,15
waterdicht,4,3.40,1.06,15,0,15
waterdruk,4,3.20,1.15,15,0,15
waterdruppel,5,4.80,0.56,15,0,15
wateren,5,3.93,1.00,14,1,15
waterenergie,1,2.80,1.32,15,0,15
waterfiets,2,4.60,0.74,15,0,15
watergolf,1,4.57,0.51,14,1,15
waterhoofd,3,3.53,0.74,15,0,15
waterig,4,3.27,1.22,15,0,15
waterijs,5,4.60,0.74,15,0,15
waterjuffer,2,4.29,1.27,14,1,15
waterkans,5,1.77,0.60,13,2,15
waterkant,4,3.80,0.86,15,0,15
waterkering,4,3.62,1.39,13,2,15
waterkers,1,4.80,0.41,15,0,15
waterketel,2,4.40,0.99,15,0,15
waterkoker,5,4.53,0.83,15,0,15
waterkraan,2,4.60,0.63,15,0,15
waterkracht,3,3.20,1.15,15,0,15
waterland,3,3.54,1.05,13,2,15
waterlanders,4,4.00,1.41,10,5,15
waterleiding,3,4.27,0.96,15,0,15
waterlek,5,4.27,0.70,15,0,15
waterlelie,4,4.93,0.27,14,1,15
watermeloen,5,4.87,0.52,15,0,15
watermerk,5,3.60,1.24,15,0,15
watermeter,3,3.93,1.10,15,0,15
watermolen,3,4.53,0.64,15,0,15
waterpas,2,4.33,0.98,15,0,15
waterpeil,5,3.80,1.08,15,0,15
waterpijp,5,4.60,0.63,15,0,15
waterpistool,2,4.53,0.92,15,0,15
waterplant,1,4.40,0.63,15,0,15
waterpokken,4,4.13,0.52,15,0,15
waterpolo,4,4.40,0.74,15,0,15
waterput,4,4.67,0.82,15,0,15
waterrat,3,3.60,1.30,15,0,15
waterrot,5,2.50,1.41,8,7,15
waterskiën,5,4.20,1.08,15,0,15
watersnood,3,2.67,1.35,15,0,15
waterspiegel,1,3.93,1.27,14,1,15
watersport,4,4.07,0.80,15,0,15
waterstaat,1,3.75,1.16,8,7,15
waterstand,2,3.33,0.98,15,0,15
waterstof,5,3.53,1.25,15,0,15
waterstofbom,2,3.47,1.25,15,0,15
waterstraal,4,4.60,0.63,15,0,15
waterstroom,5,4.33,0.62,15,0,15
watertanden,4,3.20,1.15,15,0,15
watertank,1,4.53,0.92,15,0,15
watertoren,2,4.67,0.62,15,0,15
watertrappen,1,4.36,0.74,14,1,15
waterval,4,4.80,0.41,15,0,15
waterverf,2,4.33,0.72,15,0,15
watervogel,1,4.40,0.83,15,0,15
waterweg,4,4.20,0.68,15,0,15
waterzooi,5,4.43,0.76,14,1,15
waterzuivering,5,3.33,0.98,15,0,15
watje,5,4.00,1.36,15,0,15
watten,2,4.80,0.56,15,0,15
watteren,2,3.00,1.21,12,3,15
wauwelen,5,2.90,1.10,10,5,15
wazig,2,3.47,1.25,15,0,15
we,5,1.93,1.33,15,0,15
web,1,4.87,0.35,15,0,15
webbrowser,3,3.47,1.19,15,0,15
webcam,3,4.80,0.56,15,0,15
webstek,5,2.91,1.38,11,4,15
websurfen,5,3.27,1.03,15,0,15
wecken,1,3.00,1.87,5,10,15
wedde,2,2.27,1.03,15,0,15
wedden,1,2.67,1.40,15,0,15
weddenschap,5,2.33,1.29,15,0,15
weddeschaal,2,2.00,1.07,15,0,15
wederdienst,4,2.27,0.96,15,0,15
wederhelft,5,2.40,1.12,15,0,15
wederik,3,1.25,0.50,4,11,15
wederkeren,4,2.60,1.12,15,0,15
wederkerend,2,1.87,0.64,15,0,15
wederkerig,2,1.53,0.52,15,0,15
wederom,4,1.40,0.83,15,0,15
wederopbouw,2,2.67,0.90,15,0,15
wedervaren,1,2.09,1.38,11,4,15
wederzijds,1,1.60,0.91,15,0,15
wedijver,5,1.50,0.65,14,1,15
wedijveren,5,2.43,1.09,14,1,15
wedloop,5,2.21,1.42,14,1,15
wedren,1,3.43,1.22,14,1,15
wedstrijd,4,3.67,0.82,15,0,15
weduwe,4,2.93,1.33,15,0,15
weduwnaar,1,3.27,1.16,15,0,15
wee,3,3.57,0.94,14,1,15
weed,2,4.45,0.93,11,4,15
weefgetouw,5,4.29,1.14,14,1,15
weefsel,5,3.87,0.99,15,0,15
weefster,3,3.87,0.92,15,0,15
weegbree,3,3.50,2.07,8,7,15
weegschaal,3,4.80,0.41,15,0,15
week,2,2.60,1.18,15,0,15
weekblad,1,4.13,0.74,15,0,15
weekdag,2,2.40,1.24,15,0,15
weekdier,1,4.20,0.86,15,0,15
weekeind,5,2.33,1.50,15,0,15
weekeinde,5,2.47,1.41,15,0,15
weekend,4,2.43,1.09,14,1,15
weekhartig,3,1.60,0.74,15,0,15
weeklagen,1,2.27,1.01,11,4,15
weelde,1,2.08,1.16,12,3,15
weelderig,1,2.07,0.70,15,0,15
weemoed,4,2.07,1.14,14,1,15
weemoedig,2,2.07,1.22,15,0,15
weer,2,3.00,1.25,15,0,15
weeral,5,1.20,0.56,15,0,15
weerbaar,5,1.87,0.74,15,0,15
weerbarstig,5,2.07,0.96,15,0,15
weerbericht,1,3.87,1.19,15,0,15
weerbots,1,3.22,1.39,9,6,15
weerga,5,1.36,0.74,14,1,15
weergalmen,2,3.80,1.01,15,0,15
weergaloos,1,1.57,0.85,14,1,15
weergave,2,2.20,1.15,15,0,15
weergeven,1,3.13,1.46,15,0,15
weerglans,1,2.77,1.24,13,2,15
weerhaak,4,4.00,1.21,12,3,15
weerhaan,2,4.21,1.05,14,1,15
weerhouden,3,2.13,0.92,15,0,15
weerkaatsen,5,3.53,1.13,15,0,15
weerkeren,4,2.40,1.12,15,0,15
weerklank,2,2.53,1.25,15,0,15
weerklinken,1,3.20,1.15,15,0,15
weerkomen,5,2.08,0.79,12,3,15
weerkunde,3,1.73,0.96,15,0,15
weerleggen,3,1.87,1.06,15,0,15
weerlegging,5,1.80,0.94,15,0,15
weerlicht,2,3.40,1.43,10,5,15
weerlichten,5,2.67,1.37,12,3,15
weerloos,3,2.13,0.92,15,0,15
weermacht,4,2.18,1.17,11,4,15
weerman,2,3.67,0.90,15,0,15
weerom,3,1.47,0.83,15,0,15
weerschijn,2,2.17,1.34,12,3,15
weerslag,5,2.07,1.03,15,0,15
weerspannig,1,2.21,1.25,14,1,15
weerspiegelen,4,2.33,1.29,15,0,15
weerspiegeling,1,3.33,1.11,15,0,15
weerspreken,1,2.08,1.00,12,3,15
weerstaan,1,2.13,1.13,15,0,15
weerstand,5,2.33,1.18,15,0,15
weerwerk,4,2.77,1.09,13,2,15
weerwil,2,1.23,0.44,13,2,15
weerwolf,4,3.87,1.30,15,0,15
weerwoord,5,1.54,0.78,13,2,15
weerwraak,2,2.00,0.88,14,1,15
weerzien,5,2.73,1.10,15,0,15
weerzin,3,1.67,0.72,15,0,15
weerzinwekkend,4,1.57,0.65,14,1,15
wees,1,3.13,1.25,15,0,15
weeshuis,5,3.60,0.91,15,0,15
weeskind,2,2.87,1.46,15,0,15
weetal,3,2.08,1.32,13,2,15
weetgierig,5,1.67,0.72,15,0,15
weetje,3,1.87,1.36,15,0,15
weg,5,4.07,1.28,15,0,15
wegblazen,4,3.73,1.16,15,0,15
wegblijven,4,2.40,1.12,15,0,15
wegbrengen,5,3.40,1.24,15,0,15
wegcijferen,1,1.93,0.96,15,0,15
wegcode,3,2.33,1.40,15,0,15
wegdek,3,4.13,0.74,15,0,15
wegdoen,4,2.53,1.13,15,0,15
wegdoezelen,2,2.67,1.29,15,0,15
wegdommelen,2,2.67,1.23,15,0,15
wegdragen,4,3.29,1.27,14,1,15
wegdrijven,3,3.60,0.91,15,0,15
wegduwen,3,3.93,1.03,15,0,15
wegebben,2,2.47,0.83,15,0,15
wegel,4,3.00,1.83,4,11,15
wegen,3,4.00,0.93,15,0,15
wegenkaart,4,4.67,0.49,15,0,15
wegennet,4,3.73,0.88,15,0,15
wegens,2,1.53,0.92,15,0,15
wegenwacht,1,3.93,0.70,15,0,15
wegenwerken,1,4.40,0.83,15,0,15
weggaan,1,3.67,0.98,15,0,15
weggeven,5,3.20,1.21,15,0,15
wegglijden,3,2.93,1.33,15,0,15
wegglippen,1,3.33,1.18,15,0,15
weggooien,4,3.93,1.44,14,1,15
weggrissen,4,3.31,1.25,13,2,15
weghalen,5,3.27,1.22,15,0,15
weghouden,2,2.80,1.08,15,0,15
wegjagen,5,3.40,1.12,15,0,15
wegkapen,5,3.00,1.00,15,0,15
wegkijken,2,3.53,0.92,15,0,15
wegkomen,2,2.87,0.92,15,0,15
wegkruipen,1,3.93,0.88,15,0,15
wegkwijnen,5,2.60,1.18,15,0,15
weglaten,3,2.80,1.15,15,0,15
wegleggen,1,3.33,1.05,15,0,15
wegligging,5,2.93,1.16,15,0,15
weglokken,5,2.80,1.21,15,0,15
weglopen,5,3.13,1.36,15,0,15
wegloper,1,3.13,1.36,15,0,15
wegmoffelen,4,3.23,1.09,13,2,15
wegnemen,1,3.60,1.18,15,0,15
wegpinken,5,3.21,1.42,14,1,15
wegpiraat,5,2.73,0.88,15,0,15
wegraken,2,2.47,0.99,15,0,15
wegrennen,3,3.93,1.10,15,0,15
wegrenner,2,3.07,1.28,15,0,15
wegrijden,5,3.33,1.18,15,0,15
wegroepen,2,3.13,1.25,15,0,15
wegrotten,2,2.87,0.99,15,0,15
wegrukken,4,3.33,1.05,15,0,15
wegscheren,1,3.93,1.00,14,1,15
wegslaan,1,4.00,1.00,15,0,15
wegslepen,2,3.60,1.06,15,0,15
wegsluipen,3,3.47,0.99,15,0,15
wegsmelten,4,3.33,1.18,15,0,15
wegsmijten,5,3.60,1.24,15,0,15
wegsnellen,2,3.00,1.13,15,0,15
wegsnijden,3,3.67,0.98,15,0,15
wegspoelen,4,3.73,1.22,15,0,15
wegsteken,4,2.93,1.16,15,0,15
wegstemmen,3,2.73,1.28,15,0,15
wegsterven,3,2.60,1.06,15,0,15
wegstoppen,2,3.40,0.91,15,0,15
wegstormen,4,3.33,1.40,15,0,15
wegstrepen,2,3.33,1.11,15,0,15
wegstromen,3,3.40,0.83,15,0,15
wegsturen,2,2.93,1.21,14,1,15
wegteren,2,2.00,1.04,12,3,15
wegtrekken,5,3.53,1.25,15,0,15
wegvagen,1,3.40,1.35,15,0,15
wegvallen,3,2.73,1.10,15,0,15
wegvaren,5,3.53,1.19,15,0,15
wegvegen,4,3.60,1.35,15,0,15
wegvervoer,2,3.27,1.03,15,0,15
wegvliegen,5,3.53,1.13,15,0,15
wegvluchten,2,3.33,1.05,15,0,15
wegvoeren,2,3.20,1.01,15,0,15
wegwaaien,1,3.93,0.80,15,0,15
wegwerken,4,2.40,1.06,15,0,15
wegwerpen,5,3.73,1.22,15,0,15
wegwezen,3,2.53,1.30,15,0,15
wegwijs,1,1.87,0.83,15,0,15
wegwijzer,5,4.53,0.92,15,0,15
wegzakken,2,3.47,1.06,15,0,15
wegzetten,3,3.80,1.01,15,0,15
wei,4,4.80,0.41,15,0,15
weide,4,4.67,0.49,15,0,15
weiden,3,3.36,1.15,14,1,15
weids,4,2.69,1.18,13,2,15
weifelaar,2,1.92,0.64,13,2,15
weifelen,3,2.33,1.23,12,3,15
weigeren,3,2.47,1.25,15,0,15
weigerig,3,1.93,1.27,14,1,15
weigering,5,1.87,0.92,15,0,15
weiland,4,4.53,0.52,15,0,15
weinig,5,1.33,0.62,15,0,15
wekelijks,5,1.80,1.08,15,0,15
weken,1,2.67,1.40,15,0,15
wekenlang,4,1.73,0.59,15,0,15
wekken,1,3.87,0.99,15,0,15
wekker,3,4.53,0.52,15,0,15
wekkerradio,3,4.80,0.41,15,0,15
wel,1,1.20,0.77,15,0,15
welbehagen,2,1.60,0.51,15,0,15
welbekend,4,1.53,0.74,15,0,15
welbeschouwd,3,1.53,0.92,15,0,15
welbespraakt,5,2.00,1.13,15,0,15
welbesteed,1,1.67,0.82,15,0,15
welbevinden,5,1.87,0.74,15,0,15
weldaad,5,2.00,1.13,15,0,15
weldadig,3,1.93,0.88,15,0,15
weldenkend,4,1.73,0.96,15,0,15
weldoen,1,1.47,0.52,15,0,15
weldoener,3,2.33,1.35,15,0,15
weldra,3,1.40,0.74,15,0,15
weledel,1,1.75,1.36,12,3,15
weleens,5,1.13,0.52,15,0,15
weleer,3,1.53,1.13,15,0,15
welgedaan,3,1.57,0.76,14,1,15
welgemeend,2,1.60,0.74,15,0,15
welgemoed,2,1.53,0.64,15,0,15
welgeschapen,5,2.29,0.73,14,1,15
welgesteld,2,1.87,0.83,15,0,15
welgeteld,1,1.80,1.37,15,0,15
welgevallen,3,1.71,0.91,14,1,15
welgevallig,3,1.60,0.83,15,0,15
welgezind,3,1.80,1.08,15,0,15
welhaast,1,1.33,0.65,12,3,15
welig,4,1.80,0.63,10,5,15
welingelicht,3,1.73,0.88,15,0,15
weliswaar,5,1.20,0.56,15,0,15
welja,3,1.27,0.59,15,0,15
welk,3,1.27,0.46,15,0,15
welke,2,1.40,0.74,15,0,15
welkom,4,2.00,1.25,15,0,15
wellen,1,4.00,0.93,8,7,15
welles,4,1.36,0.63,14,1,15
welletjes,1,1.53,1.06,15,0,15
wellevend,4,1.67,0.89,12,3,15
wellicht,4,1.40,1.06,15,0,15
welluidend,2,2.07,0.83,14,1,15
wellust,5,1.64,0.74,14,1,15
wellustig,4,1.80,0.68,15,0,15
welnee,2,1.20,0.41,15,0,15
welnemen,1,1.77,0.73,13,2,15
welomlijnd,2,2.40,0.83,15,0,15
welopgevoed,1,2.07,0.80,15,0,15
weloverwogen,4,1.80,0.86,15,0,15
welp,5,4.40,0.91,15,0,15
welriekend,4,2.79,1.42,14,1,15
welslagen,5,1.57,0.65,14,1,15
welstand,4,2.00,1.00,13,2,15
welstellend,5,1.80,0.94,15,0,15
welterusten,4,1.73,0.80,15,0,15
welteverstaan,3,1.53,0.74,15,0,15
weltschmerz,5,1.78,1.09,9,6,15
welvaart,3,1.67,1.11,15,0,15
welvaren,1,1.93,1.03,15,0,15
welvarend,4,2.20,0.86,15,0,15
welven,5,3.50,1.43,10,5,15
welverdiend,1,1.60,0.83,15,0,15
welving,3,3.07,1.38,14,1,15
welvoeglijk,1,1.58,1.16,12,3,15
welwillend,2,1.87,0.92,15,0,15
welzijn,1,1.60,0.83,15,0,15
welzijnswerk,1,2.20,1.01,15,0,15
wemelen,1,2.50,1.31,12,3,15
wendbaar,1,3.07,0.96,15,0,15
wenden,3,2.67,1.18,15,0,15
wending,4,2.53,1.06,15,0,15
wenen,2,4.60,0.51,15,0,15
wenk,1,3.62,1.39,13,2,15
wenkbrauw,1,5.00,0.00,15,0,15
wenken,5,3.47,1.25,15,0,15
wennen,1,2.20,1.01,15,0,15
wens,2,1.60,0.83,15,0,15
wenselijk,4,1.60,1.06,15,0,15
wensen,5,2.27,1.16,15,0,15
wentelen,4,3.21,1.12,14,1,15
wentelteefje,5,4.73,0.59,15,0,15
wenteltrap,3,4.40,0.83,15,0,15
wentelwiek,5,4.13,0.83,8,7,15
wereld,2,3.33,1.45,15,0,15
wereldberoemd,2,1.73,1.03,15,0,15
wereldbevolking,5,2.40,1.64,15,0,15
wereldbol,1,4.67,0.49,15,0,15
wereldburger,5,2.20,1.21,15,0,15
werelddeel,1,3.60,0.83,15,0,15
wereldhandel,4,2.53,1.19,15,0,15
wereldklasse,1,2.07,1.22,15,0,15
wereldkundig,5,1.80,1.08,15,0,15
wereldleider,4,3.47,1.13,15,0,15
wereldlijk,4,1.60,0.63,15,0,15
wereldmacht,1,2.07,1.33,15,0,15
wereldoorlog,3,2.60,1.12,15,0,15
wereldorde,3,1.87,0.92,15,0,15
wereldrecord,4,2.87,1.30,15,0,15
wereldreis,4,3.73,1.22,15,0,15
werelds,2,1.67,0.62,15,0,15
wereldstad,2,2.47,1.19,15,0,15
wereldvrede,4,1.53,0.92,15,0,15
wereldvreemd,5,1.60,0.63,15,0,15
wereldwijd,5,1.67,0.72,15,0,15
wereldwinkel,1,3.80,1.01,15,0,15
wereldwonder,4,3.00,1.56,15,0,15
weren,3,2.40,0.91,15,0,15
werf,2,4.13,0.92,15,0,15
werfkracht,5,2.13,1.19,15,0,15
werk,4,3.20,1.21,15,0,15
werkbank,5,4.20,1.15,15,0,15
werkbeest,3,2.53,1.13,15,0,15
werkblad,1,4.27,0.88,15,0,15
werkboek,1,4.36,0.84,14,1,15
werkdadig,3,1.71,0.91,14,1,15
werkdag,5,2.47,1.06,15,0,15
werkdrift,2,2.00,0.76,15,0,15
werkdruk,4,2.60,1.18,15,0,15
werkelijk,3,1.53,0.99,15,0,15
werkelijkheid,4,1.80,1.26,15,0,15
werkeloos,3,2.36,1.45,14,1,15
werkeloze,2,2.80,1.52,15,0,15
werken,1,3.67,0.98,15,0,15
werker,3,3.33,1.05,15,0,15
werkgelegenheid,5,1.87,1.06,15,0,15
werkgever,5,3.13,1.36,15,0,15
werkgroep,3,2.67,1.18,15,0,15
werking,3,1.93,0.96,15,0,15
werkje,2,3.13,1.13,15,0,15
werkkamer,5,3.73,1.10,15,0,15
werkkamp,3,3.53,1.06,15,0,15
werkkleding,5,3.60,1.24,15,0,15
werkkracht,4,2.73,1.16,15,0,15
werkkring,2,2.67,1.11,15,0,15
werkloos,5,2.13,1.06,15,0,15
werkloosheid,2,1.80,1.01,15,0,15
werkloze,4,2.80,1.21,15,0,15
werklui,1,3.60,0.91,15,0,15
